is_working,state,city,street,country
working,NY,Yonkers,"2554 Central Park Ave",USA
working,NJ,"Atlantic Highlands","970 Rt 36",USA
working,NJ,"Scotch Plains","1967 Route 22",USA
working,NJ,"Lincoln Park","53 Boonton Tpke",USA
working,NJ,Plainfield,"1241 South Ave",USA
working,NY,Uniondale,"1110 Hempstead Tpke",USA
working,NY,Uniondale,"1050 Front St",USA
working,NY,Westbury,"35 Old Country Rd",USA
working,NY,Roosevelt,"265 Nassau Rd",USA
working,NJ,"New Providence","1771 Springfield Ave",USA
working,NJ,"Cliffwood Beach","Rt 35 & Amboy",USA
working,NJ,"South Plainfield","909 Oak Tree Road",USA
working,NJ,Hazlet,"31-20 Route 35",USA
working,NY,Freeport,"157 Merrick Rd",USA
working,NJ,Parsippany,"1155 Rt 46 E",USA
working,NJ,Middletown,"925 Hwy 35",USA
working,NY,"Glen Cove","193 Glen St",USA
working,NJ,Edison,"1075 Route 1 S",USA
working,NJ,Plainfield,"234 W Front St",USA
working,NJ,"South Amboy","970 Rt 9",USA
working,NY,Jericho,"105 Jericho Tpke",USA
working,NJ,"Old Bridge","1111 Rt 9 N",USA
working,NY,Merrick,"1813 Merrick Rd",USA
working,NY,"East Meadow","2361 Hempstead Turnpike",USA
working,NJ,"South Plainfield","316 Durham Ave",USA
working,NJ,Edison,"1966 Hwy 27",USA
working,NJ,Parsippany,"3111 Rt 46 E",USA
broken,NJ,Boonton,"568 Myrtle Ave",USA
working,NJ,"Cedar Knolls","35 Morris County Mall",USA
working,NJ,Aberdeen,"1108 Nj-34",USA
broken,NY,Hartsdale,"407 N Central Park Ave",USA
broken,NJ,Piscataway,"1301 Stelton Road",USA
working,NJ,"Green Brook","10 Us Highway 22",USA
broken,NJ,Ramsey,"846 Rt 17 N",USA
working,NY,Hicksville,"280 N Broadway",USA
working,NY,Wantagh,"1946 Wantagh Ave",USA
working,NY,"Port Chester","321 Boston Post Rd",USA
working,NJ,Middlesex,"125 Bound Brook Rd",USA
broken,NY,Nanuet,"265 Rt 59",USA
working,NY,Tarrytown,"140 Wildey St",USA
working,NY,Hicksville,"805 S Broadway",USA
working,NY,Nyack,"55 Rt 59",USA
working,NY,"Oyster Bay","245 Pinehollow Rd",USA
working,NJ,"Tinton Falls","588 Shrewsbury Ave",USA
working,NY,Levittown,"3839 Hempstead Turnpike",USA
working,NJ,Butler,"1479 Route 23",USA
working,NY,"Spring Valley","106 Rt 59",USA
working,NJ,"East Brunswick","361 South Rt 18",USA
working,NY,Syosset,"571 Jericho Tpke",USA
working,NY,Plainview,"818 Old Country Rd",USA
working,NJ,Mahwah,"150 Rt 17 S",USA
working,NJ,"East Brunswick","730 Route 18 North",USA
working,NJ,"Long Branch","229 Broadway St",USA
working,NJ,Eatontown,"Rt 35 & Main St",USA
working,NY,Montebello,"Rt 59 & Hermion Rd",USA
working,NJ,Somerset,"1065 Easton Ave",USA
working,CT,Greenwich,"268 West Putnam Avenue",USA
broken,NJ,"New Brunswick","666 Somerset St",USA
working,NJ,"North Brunswick","Georges & Milltown Rd",USA
working,NJ,Rockaway,"201 Rt 46",USA
working,NY,Farmingdale,"655 Fulton St",USA
broken,NJ,Englishtown,"78 Rt 9",USA
working,NJ,"West Long Branch","372 Monmouth Rd",USA
working,NJ,"North Brunswick","979 Route 1 S",USA
working,NJ,Bridgewater,"680 Promenade Blvd",USA
working,NY,Ossining,"214 S Highland Ave",USA
working,NY,Thornwood,"600 Marble Ave",USA
working,NJ,Ocean,"2000 Rt 35",USA
working,NY,Huntington,"344 W Jericho Tpke",USA
working,NY,Melville,"729 Rt 110",USA
broken,CT,Riverside,"1207 East Putnam Avenue",USA
working,NY,Sloatsburg,"Ny State Turnpike Mile Post 33 S",USA
working,NJ,Manville,"60 N Main St",USA
working,NJ,Somerville,"950 Rte 22 East",USA
working,NY,Lindenhurst,"221 Sunrise Hwy",USA
working,NJ,"Asbury Park","1501 Main St",USA
working,NJ,Englishtown,"16 Wilson Ave",USA
working,NY,Haverstraw,"254 Rt 9 W",USA
working,CT,Stamford,"25 Bedford Street",USA
working,NJ,Neptune,"3542 Rt 66 East",USA
working,NY,Lindenhurst,"334 E Montauk Hwy",USA
working,NJ,"Oak Ridge","5734 Berkshire Valley Rd",USA
working,NJ,"West Milford","43a Marshall Hill Road",USA
working,NJ,Neptune,"Rt 33 & 35",USA
working,CT,Stamford,"1103 E Main St",USA
working,NJ,Succasunna,"249 Rt 10 E",USA
working,NJ,"Lake Hopatcong","735 S Rt 15 Po Box 395",USA
working,NJ,"Monmouth Junction","3955 Us Highway 1",USA
working,NJ,Freehold,"3636 Rt 9",USA
working,NJ,Ledgewood,"1117 Route 46 West",USA
working,NY,"North Babylon","1510 Deer Park Ave",USA
working,CT,Darien,"Rt- 95 (South) Btw Exit 10 &9",USA
working,NY,"North Babylon","1255 Deer Park Ave",USA
working,NJ,Hillsborough,"410 South Us Highway 206",USA
working,NY,"East Northport","1999 Jericho Turnpike",USA
working,NY,"West Islip","131 Sunrise Hwy",USA
working,NJ,Branchburg,"944 Rt 202 S",USA
working,NY,Northport,"834 Fort Salonga Rd",USA
working,NJ,Flanders,"293 Rt 206",USA
working,NJ,"Wall Township","1831 Rt 35 S",USA
working,NY,Commack,"2 Vanderbilt Pkwy",USA
working,CT,Darien,"Rt-95 East(North) Pass Exit 12",USA
working,NJ,"Mount Olive","30 International Dr South",USA
working,NY,Peekskill,"20 Welcher Ave",USA
working,NY,"Bedford Hills","605 Bedford Rd",USA
working,NY,"Bay Shore","1484 5th Ave",USA
working,CT,Norwalk,"726 Connecticut Ave",USA
broken,NJ,"Monroe Twp","1 Gateway Boulevard",USA
working,NJ,"White House Station","Rt 22 E & Juniper Dr",USA
working,NY,Brentwood,"762 Suffolk Ave",USA
working,NJ,Howell,"3410 Rt 9 South",USA
working,NJ,Plainsboro,"10 Schalks Crossing Road",USA
working,NJ,Byram,"Ushy 206 & Lake Lackawanna",USA
working,NJ,Manasquan,"2428 Rt 35",USA
working,NY,"Cortlandt Manor","3481 Us Highway 202",USA
working,NY,Islip,"107 Main St",USA
working,NY,Smithtown,"923 Jericho Tpke",USA
working,NJ,Franklin,"Rt 23",USA
working,CT,Norwalk,"26 Belden Avenue",USA
working,NJ,"East Windsor","Rt 130 & Dutch Neck Rd",USA
inactive,NY,"Mohegan Lake","3078 East Main Street",USA
working,CT,Norwalk,"340 Main Street",USA
working,NY,"Central Valley","Woodbury Commons",USA
working,NY,"Central Islip","13 W Suffolk Ave",USA
working,NJ,Jackson,"260 County Line Road",USA
working,NY,Monroe,"501 Rt 17m",USA
working,NY,Hauppauge,"517 Ny Rt 111",USA
working,CT,Norwalk,"531 Westport Ave",USA
working,NJ,Hackettstown,"202 Mountain Ave",USA
working,NY,Islandia,"1850 Veterans Hwy  Wm  2917",USA
working,NJ,"Point Pleasant","Ocean Ave & Route 35",USA
working,NJ,"Cream Ridge","534 Monmouth Rd",USA
working,NJ,"Brick Township","191 Van Zile Road",USA
working,CT,Westport,"701 Post Road East",USA
working,NY,"Saint James","614 Middle Country Rd",USA
working,NJ,Jackson,"1136 E Veterans Highway",USA
working,NJ,Bricktown,"106 Chambers Bridge Rd",USA
working,NJ,Newton,"126 Water St",USA
working,NY,Mahopac,"154 Route 6",USA
working,NY,"Highland Falls","W Pt & Station Rd",USA
working,NY,Oakdale,"4498 Sunrise Hwy",USA
working,NY,Chester,"Rt 17m & 17",USA
working,NJ,Flemington,"72 Reaville Ave",USA
broken,NJ,Clinton,"185 Center St",USA
working,NY,Bohemia,"3850 Veterans Memorial Hwy",USA
working,NJ,"Toms River","2360 Lakewood Rd",USA
working,NY,"Lake Ronkonkoma","174 Portion Rd",USA
working,NJ,Lawrenceville,"2940 Brunswick Pike",USA
working,NJ,Robbinsville,"855 Marketplace Blvd",USA
working,NJ,Mercerville,"410 Nj State Hwy 33",USA
working,NJ,Silverton,"1786 Hooper Ave",USA
working,CT,Fairfield,"165 Round Hill Rd",USA
working,CT,Fairfield,"267 Round Hill Rd",USA
working,NY,Centereach,"1724 Middle Country Rd",USA
working,CT,Fairfield,"536 Post Rd",USA
working,NJ,"Lawrence Township","301 Brunswick Circle Extention",USA
working,NJ,"Toms River","843 Fischer Blvd",USA
working,NJ,Trenton,"501 Chambers Street",USA
working,NJ,Trenton,"1885 N Olden Ave",USA
working,CT,Bridgeport,"1900 Fairfield Ave",USA
working,NJ,Trenton,"2603 S Broad St",USA
working,NY,"Port Jefferson Station","5136 Nesconset Hwy",USA
working,NY,Farmingville,"2301 N Ocean Ave",USA
working,NJ,"Toms River","916 Rt 37 W",USA
working,NJ,Trenton,"103-113 Cass St",USA
working,NY,Medford,"1710 Route 112",USA
working,NJ,"Toms River","42 Rt 37 W",USA
working,CT,Bridgeport,"1700 Park Ave",USA
working,NJ,"Toms River","371 Rt 37 E",USA
working,NY,"East Patchogue","769 Montauk Hwy",USA
working,NY,Coram,"313 Middle Country Rd",USA
working,CT,Bridgeport,"4219 Main St",USA
working,PA,Morrisville,"321 W Trenton Ave",USA
working,CT,Danbury,"2 Lake Ave",USA
working,NY,Middletown,"113 Dolson Ave",USA
working,NJ,Bordentown,"255 Rt 130",USA
working,CT,Bridgeport,"250 N Ave",USA
working,NY,Brewster,"Rt 22 & Town Center Rd",USA
working,NY,Newburgh,"347 Broadway",USA
working,NY,Middletown,"481 Rt 211 E",USA
working,CT,Stratford,"2439 Barnum Ave",USA
broken,NY,"Miller Place","340 Rt 25a",USA
working,NJ,Bayville,"417 Atlantic City Blvd",USA
working,NY,Newburgh,"1403 Rt 300",USA
working,PA,"New Hope","324 W Bridge St",USA
working,NY,Fishkill,"Us Route 9 Duchess Mall",USA
working,NY,Newburgh,"65 N Plank",USA
working,CT,Danbury,"3 Padanarum Road",USA
working,NY,Montgomery,"2083 State Hwy Rt 208 S",USA
working,NJ,Montague,"13 Rt 23 Rd",USA
working,NJ,Wrightstown,"102 E Main St",USA
working,CT,Danbury,"Newtown Rd And Rt 6",USA
working,CT,Stratford,"411 Barnum Ave",USA
working,CT,Trumbull,"80 Hawley Lane",USA
working,NY,"Middle Island","1175 Middle Country Road",USA
working,PA,"Fairless Hills","475 S Oxford Valley Rd",USA
working,CT,Monroe,"390 Monroe Tpke",USA
broken,PA,Milford,"Rt 6 & 209",USA
working,NY,"Rocky Point","463 St Rt 25a Ny",USA
working,CT,Milford,"439 Bridgeport Avenue",USA
working,PA,Levittown,"Us Route 13 Haines Rd",USA
working,NJ,Columbia,"10 Simpson Rd",USA
working,CT,Brookfield,"Federal Rd & Beverly Dr",USA
working,PA,Levittown,"6606 New Falls Rd",USA
working,NJ,"Brown Mills","118 Trenton Rd",USA
working,NJ,Phillipsburg,"1215 Route 22 West",USA
working,NJ,"Lanoka Harbor","408 Rt 9 S",USA
working,NY,Shirley,"971 Montauk Hwy",USA
working,PA,Penndel,"749 E Lincoln Hwy",USA
working,NY,Modena,"Ny State Turnpike Mile Post 66 S",USA
working,NY,"Wappingers Falls","1178 Route 9",USA
working,PA,Bristol,"3120 Veterans Hwy",USA
working,NJ,Phillipsburg,"660 Memorial Pky E",USA
working,PA,"East Stroudsburg","9 Sellerville Dr",USA
working,PA,Bristol,"75 Bristol Commerce Park",USA
working,NY,"Wappingers Falls","967 Rt 376",USA
working,CT,Milford,"1376 Boston Post Rd",USA
working,NJ,Burlington,"Route 130 North/Jackson St",USA
working,PA,Easton,"S 3rd St & Riverside Dr",USA
working,PA,Richboro,"950 2nd Str Pike",USA
working,NY,"Center Moriches","626 Montauk Hwy",USA
working,NY,Pinebush,"Rte 52 West",USA
working,NJ,Burlington,"2102 Mt. Holly Road",USA
working,PA,Easton,"350 Town Center Boulevard",USA
working,CT,Milford,"Milford Westbd Rt 95",USA
working,CT,Milford,"Rt-95 East (North) Btw Exit 40&41",USA
working,PA,Pipersville,"5857 Easton Road",USA
working,NJ,"Mount Holly","1864 Burlington-Mount Holly Rd",USA
working,PA,Trevose,"3560 Horizon Boulevard",USA
working,NY,Manorville,"560 Cord Route 111",USA
working,CT,Derby,"44 Division St",USA
working,CT,Derby,"652 New Haven Ave",USA
working,PA,Stroudsburg,"330 Main St",USA
working,PA,Jamison,"2395 York Rd",USA
working,NJ,"Mount Holly","1660 State Hwy 38",USA
working,PA,Doylestown,"561 N Main St",USA
working,PA,Feasterville,"334 E Street Rd",USA
working,PA,Bensalem,"1930 St Rd",USA
working,PA,Easton,"2553 Nazareth Rd",USA
working,CT,Orange,"57 Boston Post Road",USA
working,NJ,"Edgewater Park","Us 130/Cooper St",USA
working,NJ,Barnegat,"580 N Main St",USA
working,CT,"West Haven","513 Sawmill Road",USA
